,PTID1,PTID2,PTID3,PTID4,PTID5,PTID6,Mean,Median,NAs
AARSD1,13.208195342487203,9.992418659699316,55.452635099048834,9.15135029502645,11.77450418579582,8.269496374469762,17.97476665942123,10.883461422747569,0
ABHD14B,4.8704674237657715,8.535307480770696,108.69988517380513,6.263079071234408,7.606300170011155,8.125778977239765,24.016803049471154,7.866039573625461,0
ABL1,7.816971144996077,15.229976149303974,11.4885681211162,7.407833503595557,15.239137226830557,13.969470691801893,11.85865947294071,12.729019406459047,0
ACAA1,12.50147375418179,11.087883050988726,7.504585531156262,10.515979257108977,7.023060378015156,10.61288627743214,9.874311374813843,10.56443276727056,0
ACAN,4.730024892568468,4.4999303001236655,4.218283025714982,3.2101343932451627,4.304788230097857,4.117916755446956,4.180179599532848,4.261535627906419,0
ACE2,4.508587302169628,5.764873129983021,4.009702271909277,2.6550111682328152,6.771251540919798,3.647794397598146,4.559536635135448,4.259144787039453,0
ACP6,1.5571264678991403,3.313480763947926,2.8551573233321856,3.4706779607247293,4.045471795080968,4.327894462884878,3.261634795644971,3.392079362336328,0
ACVRL1,1.631536246934627,1.7399063726887793,2.159264418987909,0.9934900984112675,1.6351106518013339,1.3941268209230178,1.592239101624489,1.6333234493679805,0
ADA,2.2334626825959667,2.378230573745991,2.349109152060414,1.9451879121755968,2.4694300968464513,2.3014358835037627,2.279476050154697,2.3252725177820883,0
ADAM15,1.0819647212609727,0.8893575272035517,11.286383135019937,1.69235766257064,1.3344670761963995,1.32184061332483,2.9343951225960554,1.3281538447606147,0
ADAM22,2.381562778128728,3.0412493823226123,3.2865195021175455,2.354973785265245,3.2666433089223244,3.280804082780647,2.93529213992285,3.1539463456224683,0
ADAM23,2.908467521387324,3.3117339067782026,3.1855689967930645,1.886592866113567,4.426667218110317,4.2525866493093325,3.3286028597486346,3.2486514517856335,0
ADAM8,2.2681319234220267,1.8945699068231747,1.6035373472524315,1.8479988923972956,2.0518566169240775,0.5872099880942964,1.7088841124855505,1.8712843996102353,0
ADAMTS13,0.9079118984914722,1.2491271387254668,1.6499181010226776,0.7604617656595132,0.701286388512421,1.727466361472646,1.1660286089806995,1.0785195186084695,0
ADAMTS15,7.113670085421559,4.803256732009095,4.582735235500936,5.0710132946938264,4.106157806047957,4.3956402908367425,5.012078907418353,4.692995983755015,0
ADGRE2,4.104224837207327,5.429683791380281,6.226421540882014,3.8374158980598945,3.0162572199974447,2.3180309906594783,4.155339046364406,3.9708203676336105,0
ADGRE5,2.559087102411393,2.365520786580856,2.624845495553538,2.532112267177025,2.348911768130541,1.9843542106276453,2.4024719384134996,2.4488165268789404,0
ADGRG1,3.3523740442279104,6.452813475181994,3.4173220994653866,5.77670735743761,8.872857253368402,7.997051331559567,5.978187593540145,6.114760416309802,0
