,PTID1W1,PTID1W2,PTID1W3,PTID1W4,PTID1W5,PTID1W6,PTID1W7,PTID1W8,PTID1W9,PTID1W10,PTID2W1,PTID2W2,PTID2W3,PTID2W4,PTID2W5,PTID2W6,PTID2W7,PTID2W8,PTID2W9,PTID2W10,PTID3W1,PTID3W2,PTID3W3,PTID3W4,PTID3W5,PTID3W6,PTID3W7,PTID3W8,PTID3W9,PTID3W10,PTID4W1,PTID4W2,PTID4W3,PTID4W4,PTID4W5,PTID4W6,PTID4W7,PTID4W8,PTID4W9,PTID4W10,PTID5W1,PTID5W2,PTID5W3,PTID5W4,PTID5W5,PTID5W6,PTID5W7,PTID5W8,PTID5W9,PTID5W10,PTID6W1,PTID6W2,PTID6W3,PTID6W4,PTID6W5,PTID6W6,PTID6W7,PTID6W8,PTID6W9,PTID6W10
AARSD1,1.7928137155411499,2.139174770080206,1.722640885999805,2.465504369629506,1.7300529775235762,2.047189363712453,1.7833309238236756,1.7266132708063984,1.6922486356733786,1.8253378952192483,2.976235308992781,2.39305918950469,2.3801475993160333,2.7017486473693855,2.069564695093359,2.262523360837251,2.598889206764078,2.4699380581878243,2.611030700906694,2.467748997373418,2.4998586401321723,2.236370156310402,1.8969692896206574,2.322937628120561,1.8108543624114968,6.6978043942262895,2.150754622192986,2.0877343818197254,2.0049327879295324,2.4668359074715784,2.6081468699694197,2.7475377844471867,2.230848576408882,2.287738232412941,2.2069869795048316,2.3636476906217396,2.4710313442715277,2.34468649246552,2.8814884314203493,2.403267722339301,2.54779528436946,2.355862006329294,2.455175955458901,2.37576233590767,1.7403231635603587,2.0988574474860835,2.293488202375508,2.0098487673812113,2.508910315629082,2.5875810189442183,2.8189323440104967,2.730379106114356,2.6034542497610356,2.2521431296129686,2.4234706035018125,2.468635445967137,2.420913515807847,2.188654117836729,2.351656594794555,2.32593322254944
ABHD14B,1.2471983885758648,1.1655582544611738,1.161436265825987,1.2081426473377217,1.1321161595337248,1.062190804843367,1.161436265825987,1.1439158030714447,1.1212806997927292,1.0728604019312449,1.3922624619207988,1.3362833878644322,1.2571916982691307,1.4970246941775303,1.2307563708011497,1.3139423572923463,1.4367481815460077,1.271365911183094,1.6020292249109895,1.330673122709157,1.099564527163197,1.0737516950821575,1.001514035063554,1.0797706277965977,0.9894296974842456,6.788192374894267,1.105074594101117,1.1344838215107942,1.0102069428692568,1.317072477536971,1.4005925760881912,1.294606046192088,1.2302645080081003,1.3026407514285685,1.1031283162172254,1.211261449712961,1.2542312073752224,1.3011778981458353,1.3252136954176865,1.2403753944980922,1.2503552717630475,1.2286032319484694,1.3480057407815984,1.3204269112939921,1.111298453402541,1.2127560834036382,1.2699906344883176,1.2216296523509824,1.4667576157261717,1.3422133734583226,1.2967216937043904,1.3451124641356256,1.2151815654533151,1.1797021230538423,1.0705267208766824,1.1247251523988886,1.2020728754659165,1.1147667926655143,1.3196757333244211,1.0992952043377753
ABL1,3.6588855352223923,3.672549804410054,3.4547023281636884,3.727582878873427,3.243608155058752,3.4969608024205066,3.865275494338779,3.3105437124010964,4.196882401358301,3.450854928291486,4.603845884955864,4.081714570347808,4.0537021989585185,3.8761239888720893,3.348685669334387,3.8745805945895757,4.9215839062382125,3.217556449293681,5.194894716303167,4.163394068689949,4.022252392808313,3.823331570323919,3.047695422492546,3.55546034455441,3.1759716315607274,3.4000733507044196,3.1388799849006075,3.5327159209422456,4.246339675427504,3.9788545784290816,3.9056782225061513,3.7547165059512393,4.272896606400724,3.697996166021048,3.2452370376187925,3.926113311037439,4.017155829492278,3.6254341569996584,3.807004510710288,4.100523581334124,3.510189744269196,4.528039899177521,4.324371392871104,3.795756559675862,2.980957539497852,4.730205180040408,5.089400691056618,3.7300203606093643,3.989611349067932,4.363451457071713,5.09145019668247,4.44554132313466,3.774639488725658,3.6998958305788916,3.465674143782363,3.309481810833304,3.941322323328333,3.467983698541959,3.730737762434634,4.331576245146611
ACAA1,1.8396371615096696,1.854075462121554,1.622086970988523,1.5246153660187558,1.6030743807423806,1.729879012125935,1.8698714061777126,2.322389683450215,1.9728396727591955,1.7852157323148434,2.3579741950442217,1.9964610601761588,2.3031377838422658,2.922768722917127,2.273993227906029,2.127336126577062,2.5359285246169687,2.2256451206189527,2.4794375327354032,2.178427826242744,2.271634833782495,2.1609847079834834,2.102926827186258,2.04582735863448,2.6415922685721798,2.2146222006485483,2.291957116429807,2.374900369701351,2.2005357406048924,2.1515666121740598,2.4081955500873686,2.110830924161338,1.8891230477225125,1.9315317835941237,1.5799524688312951,1.8902131965031626,2.075498403120976,1.93651545193835,1.9997835795119243,2.0133193231863395,2.1343852464678195,2.326594870718891,2.2865263430872163,2.1862469861453118,2.0227228942610833,2.0841323148364053,2.0464910601940334,1.8370147757526691,1.9591766367248944,2.1633699144747767,2.3696898153783135,2.40334953637338,2.2648066295320652,2.309700073597286,1.8834644181023226,1.7055356285212138,2.3238600121464756,2.271784213569217,2.3833586953851102,2.116464570700165
ACAN,2.684841174315626,2.9383987185829397,3.1328729184527346,2.839314663455149,2.9019963761726664,2.9152340541378536,2.8589756142920195,2.9838965446022954,2.8343876146053892,2.6688906557835153,2.8966981027004257,3.177646763250945,3.2610192372587354,3.020022082498406,3.033440622132633,2.9598443278569624,3.1530108245697974,2.9922064677380193,3.254609159205425,3.283032774616415,3.1350422862336513,3.1222088617002295,3.3671613563610188,3.129744605507819,3.02110656836861,3.295517330339703,3.0557162635125446,3.1348780543431114,2.968570034355008,3.327256215582644,3.229587922740652,3.0641068150262027,3.025223740109127,3.051250276730921,2.96654121241907,3.0021984340571235,3.084693605290362,2.9108669490743013,2.8868622585326538,3.063779029770571,2.9362704466074647,2.636752210040878,2.8444258277436907,2.8807442896464157,2.915272303648458,2.7276155509409654,2.7923348057066923,2.859989419916688,3.0935939783680517,2.871922482149997,2.9905737207995005,3.307792796129895,3.4245324810808606,3.3062622397278507,3.296149012112982,3.1759237420637554,3.273262239528541,3.0947427823865556,3.3053431258708286,3.0927825067635095
ACE2,2.87006875178241,3.063451170024082,2.9351579761070936,2.9320233643742304,2.9035974953528005,3.1146335490689396,3.260507477804755,2.8736360489381227,3.018420531217286,3.179606589825924,4.10244817792658,3.776556733717223,3.742502119436521,3.712166539583517,3.9838144797786073,4.43137558115376,4.210459002408614,4.190907162011864,4.122589898132313,4.097357965763102,3.0690146779151806,3.1139671464330023,2.994362489034637,2.8821147795559887,3.13709360897494,2.910041844653247,3.0992615354492012,3.0058311148623105,3.262748844180647,3.2153524392275172,3.263845693640983,3.574428530351944,3.535206934477905,3.3680559036310918,3.354452160579562,3.409703203384729,3.4316363303189976,3.4656088483955934,3.493749794473168,3.440713057485803,3.39513136704407,3.802513780222977,3.2166255881839345,3.2774343359619293,3.3626802810468495,3.1976767092198215,3.3638579112388047,3.186674862200668,2.957951733162553,3.126130377636187,3.3273568284465007,3.4822416558443097,3.4203207012515127,3.4057473529224485,3.437600617800145,3.365636552601748,3.6037746864639733,3.65064969028919,3.5629506212694317,3.7044514859208157
ACP6,3.9371842930865095,3.910723069483783,3.988366577206477,4.075215990748764,3.9559079132977923,4.039313893577619,4.033070544431712,3.9103681051314756,3.912965958662095,4.030336078370959,4.009589034536044,4.071161993289259,4.065184530882341,3.88822695171778,4.058273196770583,4.084115302625342,4.047564562238581,3.8309043098020585,4.336333381380818,4.0978804340519135,3.9122570458412107,3.869654294828983,3.9696570462691043,3.855521343207385,3.770596505014765,3.881008699763291,3.8385484415255284,3.9979788117806434,3.8943521462499726,4.177343788281726,3.985500430304885,4.108014196132596,3.9670025589060143,4.163063926074368,4.110588751245011,4.09309531550393,4.005328120695282,4.18848005226213,4.323269177768463,3.8093424105882088,3.980235563660596,4.009087349086533,4.012407769172809,4.127608519301026,4.032092024710727,3.9789552246560715,4.144201402043151,3.7767883160932767,4.069289712715535,4.4232218229819,3.4524109350490737,3.404630684217612,3.3473538417530024,3.2909256621491596,3.2300338895849983,3.2768390603623057,3.6959047551117306,3.445475110141634,3.21868818766389,3.254382399989239
ACVRL1,6.409058229273537,6.430355532389053,6.482851509127115,6.36702502897569,6.628594267676482,6.510817958971432,6.5032612675389405,6.553205349976602,6.471896275230137,6.24636057938301,6.333867351488531,6.509472580584511,6.4632153663987495,6.503884557420942,6.556351239248344,6.315636870798454,6.491780959774202,6.387259132955731,6.6993198077177105,6.430603085902931,6.311065285258178,6.088981115077667,6.291349384401405,6.210850543381572,6.125031112091511,6.450549793757128,6.10404725300459,6.2860069142694,6.351230784150219,6.466189873473254,6.501412074468147,6.424414906540218,6.457382520829827,6.471203721510862,6.47388267689606,6.367351843566199,6.502747486965058,6.590092968574886,6.438184711943261,6.382713935554113,6.150523121339268,6.329966716385216,6.434002646197037,6.463807162825375,6.310136500088465,6.298042399641019,6.19771012347909,6.169790744407007,6.291102535264325,6.300489844363109,6.213601966866825,6.201202556339636,6.268950832667997,6.38016491964466,6.10821706726376,6.282523206085952,6.260136715109693,6.401666301439484,6.340355748045114,6.287064059872039
ADA,6.146757034741923,6.1284501354381495,6.180577549657957,6.133388849774899,5.721465627731079,5.925318248766269,6.039895083796726,6.081818940519734,6.055032925310285,6.037107626931753,6.224138699594197,6.244672084590329,6.203974380859153,6.21530972268128,5.989861082655716,6.059495888532744,6.053832503703217,6.2293187381068105,6.4760089756140395,6.377654768669317,6.24326159001678,6.2673616304444355,6.327892114629436,6.379166929602206,6.240468895522193,6.374790849220443,6.385075496762191,6.25486610990459,6.431285310846141,6.742794463908497,6.473507695187251,6.506248066842559,6.335999463255214,6.641800327915205,6.288642790893002,6.217715411350674,6.327615515024366,6.442721270532685,6.4611781892955475,6.336483351536304,6.022061485254597,6.062164895380297,5.94053325185168,6.036674758979295,5.87764855781871,5.791957291899631,5.828032365151392,5.922385786201196,6.16535323853773,6.259643471871295,6.263838183809035,6.355853199070524,6.207496602568791,6.1597704454855835,5.959816513561783,6.190243472504638,6.259001249941549,5.938370487736893,6.1542307873267905,5.985678023876827
ADAM15,9.071024929033063,9.15270693999795,9.239898015494814,9.097475959013268,8.964520796313721,9.152147919232435,9.10535174604238,9.039454277944468,9.118198516459147,8.896829767895492,9.260494305128365,9.311702002729236,9.174788395298764,9.144870808030927,9.271925643299793,9.37655216413718,9.234107761927739,9.26455754208183,9.213502090937483,9.094681300195864,9.478723517201761,9.32751716569692,9.45926090328596,9.278914251743165,9.065545116484088,12.746050031176162,9.277177188434967,9.32931446262676,9.30768830531244,9.326389037161576,8.575706007448693,8.79925215202931,8.427386600950259,8.873748615152259,8.776074699486944,8.601698373325727,8.575257487263281,8.872152183742482,8.706696997122886,8.61703909300366,8.491095081583001,8.553744474551202,8.73060022012481,8.520055241835928,8.43572234284991,8.408731388902176,8.531574066942655,8.408242688109151,8.702656850852803,8.451088271424997,9.093143921584517,9.199136632584601,9.364799805176677,9.104882547399058,9.136735350574089,9.07890038732327,9.02169846923429,9.098873497408604,9.312251070747827,8.982545014988814
