,Gene,mean,median,sd,max,PTID,Time,Residual
FOLR3,FOLR3,9.2952378,7.46954291983229,2.73813435258046,13.2558074974691,99.9006990233188,0.0,0.0993009766812081
GH2,GH2,4.1532502,3.07442388987084,2.248232501223,8.63367677311998,99.4985595778767,0.0,0.5014404221233141
PSPN,PSPN,3.8485871,4.25849951751463,1.32770283185876,5.64192457126887,99.2688244284018,0.10210758999875001,0.629067981599471
CDHR2,CDHR2,2.2948566,2.07840489186757,0.921895559069843,4.40676113848468,99.0793278000063,0.11574057557550399,0.804931624418213
SSC4D,SSC4D,4.1223617,3.29581117022032,1.84581184989654,7.38899282021266,98.827939997724,0.0,1.17206000227595
XPNPEP2,XPNPEP2,8.9093843,9.07935002731019,0.66479018815653,9.69060688377339,98.6762767721752,0.0,1.3237232278247701
IL17C,IL17C,3.3282138,2.75097088401245,1.26933470441108,5.99284319160876,98.6078466837495,0.0113530424603907,1.38080027379014
NDRG1,NDRG1,3.6385975,2.6393151340068,1.86632300660231,7.42927449712592,98.463996280524,0.029629117048252697,1.50637460242778
CSF2RA,CSF2RA,5.4416254,5.74633161321186,0.729464724694739,6.14366075620492,98.3385723984033,0.0,1.6614276015967
MICA,MICA,4.2561539,4.49801149721906,0.5675207844129,4.82617727922868,97.6975838737416,0.0,2.3024161262584
ICAM5,ICAM5,6.0039549,6.02865456662943,0.462238407125655,6.76874144160873,97.4466015323689,1.44875895950537e-08,2.55339845314345
LILRB5,LILRB5,3.8953586,3.79906236279356,0.804261296936803,5.13079499317591,97.4386598846775,0.0,2.56134011532247
TPSAB1,TPSAB1,3.8370993,3.93077925457248,0.513595493520541,4.67234613301055,97.4035902131811,0.0,2.59640978681887
TFF3,TFF3,5.6498017,5.33741027118584,0.943697011028475,8.00361235529759,97.0341321095548,0.0,2.96586789044523
PTH1R,PTH1R,2.783618,2.67291863447326,0.726920057504749,4.42226664523106,97.0122203000311,0.454362707295577,2.5334169926733
ALPP,ALPP,4.8612993,4.97212550958856,1.00962541501702,6.36641314488576,96.98005544310439,9.42347811271597e-15,3.01994455689558
PRSS27,PRSS27,9.008048,9.24127602604578,0.568283128382186,9.76793563698556,96.9584750336122,0.0842527750807852,2.95727219130703
MEP1B,MEP1B,2.7552446,2.74959862437689,0.84404055058895,4.4781564196102,96.8056218118063,0.24453613614168002,2.94984205205206
MDGA1,MDGA1,4.2630018,4.37692158154205,0.667432225257354,5.22973018575955,96.6452742251107,0.0,3.3547257748893404
CTSH,CTSH,2.0809991,2.20172794690869,0.512992634958824,2.94725470096803,96.5272083854755,0.0,3.47279161452451
ASAH2,ASAH2,3.9445476,3.69398308360668,0.74441206080119,5.63109846034024,96.49923604107819,0.368860997714778,3.1319029612070497
IGFBP2,IGFBP2,7.4859325,7.91644396261445,1.09196355463474,8.87938658860517,96.3975513955843,5.0343947388187e-08,3.6024485540718
FGF23,FGF23,4.70183,3.81059327813305,1.95650420738932,9.5286154647886,96.2790721508362,0.0,3.72092784916379
FCRL5,FCRL5,2.9209058,3.15040234491054,0.552740003143333,3.49742075992834,96.0352014230876,0.47013015076327697,3.49466842614915
FASLG,FASLG,10.3176677,10.4479582045561,0.491755066146043,11.1123418250706,96.0210958621658,0.0,3.97890413783421
MUC16,MUC16,2.6623622,2.61088754089634,0.620232648434966,3.87202101814348,95.7456292471788,0.0,4.25437075282123
FCGR2B,FCGR2B,3.3458479,3.51808381783082,0.638370616242614,4.20211990478937,95.74489441848179,0.013718962577005502,4.241386618941171
FCRL3,FCRL3,2.0254291,2.08754761921262,0.283367055528593,2.54656113568525,95.7278525634829,0.0,4.2721474365171295
KIR3DL1,KIR3DL1,2.892848,2.88015334076423,0.624725456042249,4.06921236447736,95.5221093070316,3.94393687621995e-09,4.47789068902443
CCL19,CCL19,9.4044965,9.08172001071048,0.863878637246551,11.631194884612,95.3889746710337,0.0,4.611025328966329
SERPINA9,SERPINA9,3.164608,2.60660750232201,1.15569690650244,6.55474846017207,95.2969088293337,0.188179810009163,4.51491136065714
TUBGCP5,TUBGCP5,4.5875583,4.57029249515798,0.572345143697732,5.78772498599704,95.2423231934512,0.659503626063914,4.0981731804848796
IFNGR2,IFNGR2,5.265132,5.1514454075648,0.615040450862595,6.55081141667335,95.2304835274533,0.46648849522919095,4.30302797731746
KLK4,KLK4,3.2694131,3.10812280689498,0.670994801501351,4.75370079830694,95.1891717427839,0.0,4.8108282572161505
AMN,AMN,3.9386106,3.92714317842661,0.602154085888489,5.19372838305807,95.1045035379645,0.0,4.895496462035521
CLEC4A,CLEC4A,4.4653249,4.36508499228384,0.370624295577028,5.15249172363308,95.0539015421724,0.0,4.94609845782758
CCL24,CCL24,6.0523157,5.76118397387628,0.602658188531434,7.34809252033618,94.9987454769979,0.802269681094642,4.19898484190746
LEP,LEP,5.9647639,5.9893755321314,0.905202409660059,7.49841044886098,94.99548572037429,2.70261617104348e-14,5.0045142796257105
JCHAIN,JCHAIN,3.3921238,3.37585636369631,0.361624509251544,4.30031411845732,94.9178805313635,0.0,5.082119468636471
SLAMF7,SLAMF7,3.0151858,3.08282178725399,0.442398475408138,3.79090754476049,94.90954433338929,0.0,5.09045566661074
ADAM8,ADAM8,6.0832795,6.14517401208986,0.446480410882686,6.85169532969176,94.84607483235,0.18170893777467598,4.97221622987529
CHIT1,CHIT1,3.5206511,3.74278636083399,0.507878476478019,4.2254291875592,94.8369258947642,0.00926799535685536,5.153806109878991
GPA33,GPA33,5.2550584,4.94393375413223,1.407438062537,8.21494366769232,94.8211049162074,0.061095909560046395,5.11779917423258
CD22,CD22,7.1919247,7.31863646629089,0.521232261392035,8.21872111880846,94.8065573570926,0.00676690524712247,5.18667573766028
CDHR5,CDHR5,3.7483884,3.85253611708017,0.549824919379755,4.54287709935414,94.72170481836079,0.0,5.27829518163924
ENPP7,ENPP7,4.3026743,4.17219746033695,0.941615920143309,5.84342866132607,94.64202617686041,0.0,5.35797382313958
HAVCR1,HAVCR1,7.473223,7.56190814331161,0.701120570918064,8.5613914412158,94.60766868302571,0.737029839451627,4.65530147752264
SIRPA,SIRPA,3.6234325,3.68618624347423,0.495311053991787,4.39125218326657,94.5810507113509,0.826518709896008,4.59243057875313
FOSB,FOSB,1.5874125,1.4369231102712,0.332852122291688,2.38011988635771,94.4912359468691,0.702930763086914,4.8058332900439895
PILRB,PILRB,5.0476409,5.26083628255793,0.610417470929925,5.74543634791948,94.4675813206164,0.27203622930745397,5.260382450076119
ICAM4,ICAM4,4.719653,4.57760041068861,0.589400474996835,6.00268677034799,94.3362936665524,0.0,5.66370633344764
LYPD3,LYPD3,6.061751,5.99047181556612,0.388099370218659,6.80552592008071,94.2857678467335,0.0,5.71423215326654
CD177,CD177,3.358775,3.50554545770907,0.472119063231036,3.92841770138849,94.2279675241125,0.502814572740849,5.26921790314662
RET,RET,5.6223054,5.5406562691238,0.527007023405073,6.87205919903182,94.2257362344385,0.657733489520047,5.1165302760415
AKR1B1,AKR1B1,4.7252813,4.26678226024081,1.29262604067981,7.60906863839108,94.21127177151371,0.752640824325106,5.03608740416119
CD200R1,CD200R1,4.5127088,4.31675333746704,0.396830576265612,5.25385315650467,94.2096757681172,0.0,5.790324231882829
WFIKKN1,WFIKKN1,3.9163573,4.07191041893236,0.471004586437517,4.51418539642773,94.1685752880992,0.0,5.8314247119008105
FCRLB,FCRLB,2.0632326,2.17945850689341,0.317441184287472,2.63373343551496,94.0911570188928,0.0,5.90884298110715
TLR3,TLR3,4.3066036,4.36608383711888,0.37193062698772,4.93765041444881,94.07374838396369,0.0,5.92625161603633
KLRD1,KLRD1,6.4721016,6.56434623878644,0.445868756921817,7.15937791123684,94.0663183731742,0.0,5.93368162682577
