,Gene,mean,median,sd,max,PTID,Time,Residual
FOLR3,FOLR3,9.2952378,7.46954291983229,2.73813435258046,13.2558074974691,99.90069902222571,0.0,0.09930097777434752
GH2,GH2,4.1532502,3.07442388987084,2.248232501223,8.63367677311998,99.4985565910398,0.0,0.501443408960179
PSPN,PSPN,3.8485871,4.25849951751463,1.32770283185876,5.64192457126887,99.2688244327669,0.102107592114195,0.629067975118879
CDHR2,CDHR2,2.2948566,2.07840489186757,0.921895559069843,4.40676113848468,99.0793278008442,0.11574057498361799,0.804931624172156
SSC4D,SSC4D,4.1223617,3.29581117022032,1.84581184989654,7.38899282021266,98.8279231101837,0.0,1.17207688981628
XPNPEP2,XPNPEP2,8.9093843,9.07935002731019,0.66479018815653,9.69060688377339,98.6762767701851,0.0,1.32372322981493
IL17C,IL17C,3.3282138,2.75097088401245,1.26933470441108,5.99284319160876,98.6078466838773,0.0113530425044264,1.38080027361827
NDRG1,NDRG1,3.6385975,2.6393151340068,1.86632300660231,7.42927449712592,98.4639929415597,0.029628638076346102,1.50637842036398
CSF2RA,CSF2RA,5.4416254,5.74633161321186,0.729464724694739,6.14366075620492,98.338572398496,0.0,1.6614276015040501
MICA,MICA,4.2561539,4.49801149721906,0.5675207844129,4.82617727922868,97.69758386986321,0.0,2.3024161301367503
ICAM5,ICAM5,6.0039549,6.02865456662943,0.462238407125655,6.76874144160873,97.4466015327025,1.4487597139176499e-08,2.55339845280987
LILRB5,LILRB5,3.8953586,3.79906236279356,0.804261296936803,5.13079499317591,97.4386598847523,0.0,2.5613401152477002
TPSAB1,TPSAB1,3.8370993,3.93077925457248,0.513595493520541,4.67234613301055,97.4035902090308,0.0,2.5964097909691697
TFF3,TFF3,5.6498017,5.33741027118584,0.943697011028475,8.00361235529759,97.0341321091031,0.0,2.9658678908969
PTH1R,PTH1R,2.783618,2.67291863447326,0.726920057504749,4.42226664523106,97.0122202990147,0.45436270699874004,2.5334169939865903
ALPP,ALPP,4.8612993,4.97212550958856,1.00962541501702,6.36641314488576,96.9800605090652,0.0,3.01993949093477
PRSS27,PRSS27,9.008048,9.24127602604578,0.568283128382186,9.76793563698556,96.9584750334319,0.084252775816522,2.9572721907516
MEP1B,MEP1B,2.7552446,2.74959862437689,0.84404055058895,4.4781564196102,96.8056218084385,0.24453613634878602,2.9498420552127
MDGA1,MDGA1,4.2630018,4.37692158154205,0.667432225257354,5.22973018575955,96.64527422407791,0.0,3.3547257759221303
CTSH,CTSH,2.0809991,2.20172794690869,0.512992634958824,2.94725470096803,96.5272083856823,0.0,3.47279161431773
ASAH2,ASAH2,3.9445476,3.69398308360668,0.74441206080119,5.63109846034024,96.499236037467,0.368860998496426,3.1319029640366
IGFBP2,IGFBP2,7.4859325,7.91644396261445,1.09196355463474,8.87938658860517,96.3975513947801,5.0344135865685795e-08,3.60244855487577
FGF23,FGF23,4.70183,3.81059327813305,1.95650420738932,9.5286154647886,96.2790725683915,0.0,3.72092743160847
FCRL5,FCRL5,2.9209058,3.15040234491054,0.552740003143333,3.49742075992834,96.0352014183712,0.470130151608921,3.49466843001985
FASLG,FASLG,10.3176677,10.4479582045561,0.491755066146043,11.1123418250706,96.0210958622705,0.0,3.9789041377295
MUC16,MUC16,2.6623622,2.61088754089634,0.620232648434966,3.87202101814348,95.7456292470751,0.0,4.25437075292485
FCGR2B,FCGR2B,3.3458479,3.51808381783082,0.638370616242614,4.20211990478937,95.7448944194234,0.013718962521661202,4.241386618054889
FCRL3,FCRL3,2.0254291,2.08754761921262,0.283367055528593,2.54656113568525,95.72785255994411,0.0,4.27214744005588
KIR3DL1,KIR3DL1,2.892848,2.88015334076423,0.624725456042249,4.06921236447736,95.5221093069936,3.94386992368504e-09,4.47789068906257
CCL19,CCL19,9.4044965,9.08172001071048,0.863878637246551,11.631194884612,95.3889226513416,1.68439211978027e-08,4.61107733181446
