Sample,Sample_title,Sample_geo_accession,Subject_id,Age_group,File
MY_YX1L,GSM3722100_YX1L,GSM3722100,YX1L,Young,GSM3722100_YX1L_10X.txt
MY_YX2L,GSM3722101_YX2L,GSM3722101,YX2L,Young,GSM3722101_YX2L_10X.txt
MY_YX3R,GSM3722102_YX3R,GSM3722102,YX3R,Young,GSM3722102_YX3R_10X.txt
MY_YX4R,GSM3722103_YX4R,GSM3722103,YX4R,Young,GSM3722103_YX4R_10X.txt
MY_YX5R,GSM3722104_YX5R,GSM3722104,YX5R,Young,GSM3722104_YX5R_10X.txt
MY_YX6L,GSM3722105_YX6L,GSM3722105,YX6L,Young,GSM3722105_YX6L_10X.txt
MY_YX7R,GSM3722106_YX7R,GSM3722106,YX7R,Young,GSM3722106_YX7R_10X.txt
MY_YX8L,GSM3722107_YX8L,GSM3722107,YX8L,Young,GSM3722107_YX8L_10X.txt
MO_OX1X,GSM3722108_OX1X,GSM3722108,OX1X,Old,GSM3722108_OX1X_10X.txt
MO_OX2X,GSM3722109_OX2X,GSM3722109,OX2X,Old,GSM3722109_OX2X_10X.txt
MO_OX3X,GSM3722110_OX3X,GSM3722110,OX3X,Old,GSM3722110_OX3X_10X.txt
MO_OX4X,GSM3722111_OX4X,GSM3722111,OX4X,Old,GSM3722111_OX4X_10X.txt
MO_OX5X,GSM3722112_OX5X,GSM3722112,OX5X,Old,GSM3722112_OX5X_10X.txt
MO_OX6X,GSM3722113_OX6X,GSM3722113,OX6X,Old,GSM3722113_OX6X_10X.txt
MO_OX7X,GSM3722114_OX7X,GSM3722114,OX7X,Old,GSM3722114_OX7X_10X.txt
MO_OX8X,GSM3722115_OX8X,GSM3722115,OX8X,Old,GSM3722115_OX8X_10X.txt
